id,group
soy sauce,chinese
sesame oil,chinese
corn starch,chinese
shaoxing wine,chinese
oyster sauce,chinese
mirin,japanese
sake,japanese
sugar,japanese
ginger,japanese
fish sauce,thai
chili,thai
coconut milk,thai
beansprouts,thai
garlic,thai
garam masala,indian
salt,indian
onions,indian
ground turmeric,indian
flour,french
olive oil,french
grated parmesan cheese,italian
shredded mzarella cheese,italian
marinara sauce,italian
preserved lemon,moroccan
ground cumin,moroccan
dried apricot,moroccan
saffron threads,spanish
garlic cloves,spanish
